Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-12-01T00:00:00.000Z,All,All,All,TX-Collin,1054.0,37.0,49.0,0
2021-12-01T00:00:00.000Z,All,All,All,MN-Stearns,134.0,5.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,FL-Hillsborough,2853.0,99.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,IN-Marion,1875.0,84.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,VA-Middle_River,747.0,8.0,6.0,0
2021-12-01T00:00:00.000Z,All,All,All,FL-Indian_River,516.0,7.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,TX-Angelina,260.0,7.0,8.0,0
2021-12-01T00:00:00.000Z,All,All,All,VA-Virginia_Beach,1147.0,15.0,18.0,0
2021-12-01T00:00:00.000Z,All,All,All,TX-Cooke,153.0,6.0,5.0,0
2021-12-01T00:00:00.000Z,All,All,All,CA-San_Mateo,822.0,21.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,GA-Athens_Clarke,68.0,10.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,IA-Polk,761.0,43.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,IA-Pottawattamie,174.0,15.0,5.0,0
2021-12-01T00:00:00.000Z,All,All,All,LA-Sabine,428.0,2.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,NV-Clark,3057.0,104.0,128.0,0
2021-12-01T00:00:00.000Z,All,All,All,OH-Franklin,1703.0,74.0,67.0,0
2021-12-01T00:00:00.000Z,All,All,All,OR-Columbia,147.0,1.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,TX-Tom_Green,560.0,6.0,9.0,0
2021-12-01T00:00:00.000Z,All,All,All,UT-Salt_Lake,1858.0,46.0,61.0,0
2021-12-01T00:00:00.000Z,All,All,All,AR-Benton,665.0,34.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,AR-Washington,695.0,21.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,AZ-Yuma,461.0,11.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CA-Fresno,2660.0,36.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CA-Los_Angeles,14533.0,784.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CA-Marin,424.0,10.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CA-Merced,1398.0,26.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CA-Napa,229.0,4.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CA-Riverside,3451.132075471698,21.54716981132075,0.0,1
2021-12-01T00:00:00.000Z,All,All,All,CO-Boulder,480.0,8.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CO-Denver,1559.0,57.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CO-Douglas,364.0,17.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,CO-Jefferson,1058.0,39.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,FL-Escambia,1543.0,19.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,FL-Nassau,572.0,10.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,FL-Orange,2184.0,76.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,FL-Polk,6518.0,96.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,FL-St_Johns,425.0,20.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,GA-Forsyth,359.0,21.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,GA-Gwinnett,2456.0,53.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,GA-Hall,1230.0,38.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,IA-Story,58.0,1.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,IN-Clay,330.0,18.0,10.0,0
2021-12-01T00:00:00.000Z,All,All,All,KS-Saline,203.0,7.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,KS-Sedgwick,1508.0,39.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,KS-Wyandotte,483.0,20.0,6.0,0
2021-12-01T00:00:00.000Z,All,All,All,KY-Christian,709.0,19.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,KY-Oldham,272.0,5.0,7.0,0
2021-12-01T00:00:00.000Z,All,All,All,LA-Orleans,867.0,19.0,14.0,0
2021-12-01T00:00:00.000Z,All,All,All,LA-Rapides,915.0,22.0,22.0,0
2021-12-01T00:00:00.000Z,All,All,All,LA-Terrebonne,563.0,2.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,MI-Kent,1008.0,29.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,MN-Wright,139.0,8.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,MO-McDonald,49.0,4.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,MO-Platte,211.0,7.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,MS-Hinds,567.0,2.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,NC-Mecklenburg,1469.0,33.0,39.0,0
2021-12-01T00:00:00.000Z,All,All,All,NE-Douglas,1226.0,40.0,30.0,0
2021-12-01T00:00:00.000Z,All,All,All,NV-Las_Vegas,445.0,48.0,34.0,0
2021-12-01T00:00:00.000Z,All,All,All,NY-New_York_City,5226.0,36.0,0.0,1
2021-12-01T00:00:00.000Z,All,All,All,OH-Butler,929.0,24.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,OH-Wood,124.99999999999997,0.4595744680851064,0.4595744680851064,1
2021-12-01T00:00:00.000Z,All,All,All,OR-Benton,61.0,3.0,0.0,0
2021-12-01T00:00:00.000Z,All,All,All,OR-Josephine,135.0,7.0,3.0,0
2021-12-01T00:00:00.000Z,All,All,All,OR-Marion,345.0,15.0,6.0,0
2021-12-01T00:00:00.000Z,All,All,All,OR-Multnomah,771.0,25.0,0.0,0
