JailId,Nov,Oct,Sept-Nov,June-Aug
AL-Autauga,True,True,True,True
AL-Baldwin,True,True,True,True
AL-Blount,True,True,True,True
AL-Calhoun,True,True,True,True
AL-Cherokee,True,True,True,True
AL-Chilton,True,True,True,True
AL-Choctaw,True,True,True,True
AL-Clay,True,True,True,True
AL-Cleburne,True,True,True,True
AL-Coffee,True,True,True,True
AL-Colbert,True,True,True,True
AL-Coosa,True,True,True,True
AL-Dale,True,True,True,True
AL-DeKalb,True,True,True,True
AL-Etowah,True,True,True,False
AL-Franklin,True,True,True,True
AL-Greene,True,True,True,True
AL-Houston,True,True,True,True
AL-Jackson,True,True,True,True
AL-Jefferson,True,True,True,True
AL-Jefferson_Birmingham,True,True,True,False
AL-Limestone,True,True,True,True
AL-Madison,True,True,True,True
AL-Marion,True,True,True,True
AL-Marshall,True,True,True,True
AL-Mobile,True,True,True,True
AL-Morgan,True,True,True,True
AL-Pickens,True,True,True,True
AL-Pike,True,True,True,True
AL-Randolph,True,True,True,True
AL-Shelby,True,True,True,True
AL-St_Clair,True,True,True,True
AL-Talladega,True,True,True,True
AL-Washington,True,True,True,True
AR-Baxter,True,True,True,True
AR-Benton,True,True,True,True
AR-Boone,True,True,True,True
AR-Columbia,True,True,True,True
AR-Craighead,True,True,True,True
AR-Crawford,True,True,True,True
AR-Crittenden,True,True,True,True
AR-Cross,True,True,True,True
AR-Drew,True,True,True,True
AR-Faulkner,True,True,True,True
AR-Franklin,True,True,True,True
AR-Garland,True,True,True,True
AR-Hempstead,True,True,True,True
AR-Howard,True,True,True,True
AR-Independence,True,True,True,True
AR-Izard,True,False,False,False
AR-Jefferson,True,True,True,True
AR-Johnson,True,True,True,True
AR-Madison,True,True,True,True
AR-Marion,True,True,True,True
AR-Monroe,True,True,True,True
AR-Nevada,True,True,True,True
AR-Ouachita,True,True,True,True
AR-Poinsett,True,True,True,True
AR-Pope,True,True,True,True
AR-Pulaski,True,True,True,True
AR-Randolph,True,False,False,False
AR-Saline,True,True,True,True
AR-Sebastian,True,True,True,True
AR-St_Francis,True,True,True,True
AR-Stone,True,True,True,True
AR-Union,True,True,True,True
AR-Van_Buren,True,True,True,True
AR-Washington,True,True,True,True
AR-White,True,True,True,True
AZ-Apache,True,True,True,True
AZ-Mohave,True,True,True,True
AZ-Navajo,True,True,True,True
AZ-Pima,True,True,True,True
AZ-Pinal,False,True,False,True
AZ-Yavapai,True,True,True,True
AZ-Yuma,True,True,True,True
CA-Amador,True,True,True,True
CA-El_Dorado,True,True,True,True
CA-Fresno,True,True,True,True
CA-Kern,True,True,True,True
CA-Kings,True,True,True,True
CA-Lake,True,True,True,True
CA-Los_Angeles,True,True,True,False
CA-Madera,True,True,True,True
CA-Marin,True,True,True,False
CA-Merced,True,True,True,True
CA-Monterey,True,True,True,True
CA-Napa,True,True,True,True
CA-Nevada,True,True,True,True
CA-Orange,True,True,True,True
CA-Placer,True,True,True,True
CA-Riverside,True,True,True,True
CA-San_Mateo,True,True,True,True
CA-Santa_Barbara,True,True,True,True
CA-Santa_Cruz,True,True,True,True
CA-Shasta,False,True,False,True
CA-Siskiyou,True,True,True,True
CA-Solano,True,True,True,True
CA-Stanislaus,True,True,True,True
CA-Tehama,True,True,True,True
CA-Tulare,True,True,True,True
CA-Yuba,True,True,True,True
CO-Adams,True,True,True,True
CO-Arapahoe,True,True,True,True
CO-Bent,True,True,True,True
CO-Boulder,True,True,True,True
CO-Broomfield,False,False,False,True
CO-Denver,True,True,True,True
CO-Douglas,True,True,True,True
CO-Garfield,True,True,True,True
CO-Jefferson,True,True,True,True
CO-Larimer,True,True,True,True
CO-Mesa,True,True,True,True
CO-Pitkin,True,True,True,True
CO-Pueblo,True,True,True,True
CO-Teller,True,True,True,True
FL-Alachua,True,True,True,True
FL-Bay,True,True,True,True
FL-Bradford,True,True,True,True
FL-Brevard,True,True,True,True
FL-Broward,True,True,True,True
FL-Calhoun,True,True,True,True
FL-Columbia,True,False,False,False
FL-DeSoto,True,True,True,True
FL-Duval,True,True,True,True
FL-Escambia,True,True,True,True
FL-Flagler,True,True,True,True
FL-Gadsden,True,False,False,False
FL-Hamilton,True,False,False,False
FL-Hendry,True,True,True,True
FL-Hernando,True,True,True,False
FL-Highlands,True,True,True,True
FL-Hillsborough,True,True,True,False
FL-Indian_River,True,True,True,True
FL-Lake,True,True,True,True
FL-Lee,True,True,True,True
FL-Levy,True,True,True,True
FL-Marion,True,True,True,True
FL-Monroe,True,True,True,True
FL-Nassau,True,True,True,True
FL-Okaloosa,True,True,True,True
FL-Okeechobee,True,True,True,True
FL-Orange,True,True,True,True
FL-Osceola,True,True,True,True
FL-Pasco,True,True,True,True
FL-Pinellas,True,True,True,True
FL-Polk,True,True,True,True
FL-Putnam,True,True,True,True
FL-Santa_Rosa,True,True,True,True
FL-Sarasota,True,True,True,True
FL-Seminole,True,True,True,True
FL-St_Johns,True,True,True,True
FL-St_Lucie,True,True,True,True
FL-Sumter,True,True,True,True
FL-Suwannee,True,True,True,True
FL-Taylor,True,True,True,True
FL-Walton,True,True,True,True
GA-Athens_Clarke,True,True,True,True
GA-Bartow,True,True,True,True
GA-Berrien,True,True,True,True
GA-Bibb,True,True,True,True
GA-Brantley,True,True,True,True
GA-Bulloch,True,True,True,True
GA-Burke,True,True,True,True
GA-Camden,True,True,True,True
GA-Carroll,True,True,True,True
GA-Catoosa,True,True,True,True
GA-Chattooga,True,True,True,True
GA-Clayton,True,True,True,False
GA-Cobb,True,True,True,False
GA-Columbia,True,True,True,True
GA-Coweta,True,True,True,True
GA-Dawson,True,True,True,True
GA-DeKalb,True,True,True,False
GA-Decatur,True,True,True,True
GA-Dodge,True,True,True,True
GA-Dougherty,True,True,True,True
GA-Douglas,True,True,True,True
GA-Effingham,True,True,True,True
GA-Elbert,True,True,True,True
GA-Fayette,True,True,True,True
GA-Floyd,True,True,True,True
GA-Forsyth,True,True,True,True
GA-Gilmer,True,True,True,True
GA-Gordon,True,True,True,True
GA-Gwinnett,True,True,True,True
GA-Habersham,True,True,True,True
GA-Hall,True,True,True,True
GA-Haralson,True,True,True,True
GA-Houston,True,True,True,True
GA-Jackson,True,True,True,True
GA-Lamar,True,True,True,True
GA-Laurens,True,True,True,True
GA-Liberty,True,True,True,True
GA-Lowndes,True,True,True,True
GA-Lumpkin,True,True,True,True
GA-Madison,True,True,True,True
GA-Monroe,True,True,True,True
GA-Newton,True,True,True,True
GA-Oconee,True,True,True,True
GA-Pickens,True,True,True,True
GA-Pierce,True,True,True,True
GA-Polk,True,True,True,True
GA-Rabun,True,True,True,True
GA-Richmond,True,True,True,True
GA-Spalding,True,True,True,True
GA-Sumter,True,True,True,True
GA-Tattnall,True,True,True,True
GA-Tift,True,True,True,True
GA-Toombs,True,True,True,True
GA-Troup,True,True,True,True
GA-Turner,True,True,True,True
GA-Union,True,True,True,True
GA-Upson,True,True,True,True
GA-Walton,True,True,True,True
GA-Ware,True,True,True,True
GA-Washington,True,True,True,True
GA-Whitfield,True,True,True,True
GA-Worth,True,True,True,True
IA-Black_Hawk,True,True,True,True
IA-Buena_Vista,True,True,True,True
IA-Cerro_Gordo,True,True,True,True
IA-Clinton,True,True,True,True
IA-Dallas,True,True,True,True
IA-Dickinson,True,True,True,True
IA-Hamilton,True,True,True,False
IA-Hardin,True,True,True,True
IA-Ida,True,True,True,True
IA-Johnson,True,True,True,True
IA-Linn,True,True,True,True
IA-Marshall,True,True,True,True
IA-Osceola,True,True,True,True
IA-Plymouth,True,True,True,True
IA-Polk,True,True,True,True
IA-Pottawattamie,True,True,True,True
IA-Scott,True,True,True,True
IA-Sioux,True,True,True,True
IA-Story,True,True,True,True
IA-Woodbury,True,True,True,True
ID-Ada,True,True,True,True
ID-Bannock,True,True,True,True
ID-Bingham,True,True,True,True
ID-Blaine,True,True,True,True
ID-Bonner,True,True,True,True
ID-Bonneville,True,True,True,True
ID-Canyon,False,True,False,True
ID-Cassia,True,True,True,True
ID-Elmore,True,True,True,True
ID-Kootenai,True,True,True,True
ID-Nez_Perce,True,True,True,True
ID-Power,True,True,True,True
ID-Twin_Falls,True,True,True,True
ID-Washington,True,True,True,True
IL-Adams,True,True,True,True
IL-Coles,True,True,True,True
IL-Crawford,True,True,True,True
IL-DuPage,True,True,True,False
IL-Kane,True,True,True,True
IL-Kankakee,True,True,True,True
IL-Kendall,True,True,True,True
IL-Lake,True,True,True,False
IL-Macon,True,True,True,True
IL-Massac,True,True,True,True
IL-McHenry,True,True,True,True
IL-Moultrie,True,True,True,True
IL-Peoria,True,True,True,False
IL-Randolph,True,True,True,True
IL-St_Clair,True,True,True,True
IL-Stephenson,True,True,True,True
IL-Will,True,True,True,True
IL-Woodford,True,True,True,True
IN-Boone,True,True,True,True
IN-Clay,True,True,True,True
IN-Dearborn,True,True,True,True
IN-Delaware,True,True,True,True
IN-Dubois,True,True,True,True
IN-Grant,True,True,True,True
IN-Hamilton,True,True,True,True
IN-Hancock,True,True,True,True
IN-Hendricks,True,True,True,True
IN-Howard,True,True,True,True
IN-Jackson,True,True,True,True
IN-Knox,True,True,True,True
IN-La_Porte,True,True,True,True
IN-Madison,True,True,True,True
IN-Marion,True,True,True,True
IN-Montgomery,True,True,True,True
IN-Perry,True,True,True,True
IN-Porter,True,True,True,True
IN-Pulaski,True,True,True,True
IN-Putnam,True,True,True,True
IN-Ripley,True,True,True,True
IN-Scott,True,True,True,True
IN-Shelby,True,True,True,True
IN-St_Joseph,True,True,True,True
IN-Starke,True,True,True,True
IN-Tippecanoe,True,True,True,True
IN-Vanderburgh,True,True,True,True
IN-Vigo,True,True,True,True
IN-Washington,True,True,True,True
IN-Whitley,True,True,True,True
KS-Brown,True,True,True,True
KS-Chase,True,True,True,False
KS-Cherokee,True,True,True,True
KS-Crawford,True,True,True,True
KS-Dickinson,True,True,True,True
KS-Doniphan,True,True,True,True
KS-Finney,True,True,True,True
KS-Geary,True,True,True,True
KS-Jackson,True,True,True,True
KS-Jefferson,True,True,True,True
KS-Labette,True,True,True,True
KS-Leavenworth,True,True,True,False
KS-Marion,True,True,True,True
KS-McPherson,True,True,True,True
KS-Phillips,True,True,True,True
KS-Pratt,True,True,True,True
