Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-11-01T00:00:00.000Z,All,All,All,FL-Hillsborough,2945.0,48.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Collin,1148.0,40.0,36.0,0
2021-11-01T00:00:00.000Z,All,All,All,MN-Stearns,153.0,8.0,18.0,0
2021-11-01T00:00:00.000Z,All,All,All,IN-Marion,2037.0,64.0,102.0,0
2021-11-01T00:00:00.000Z,All,All,All,VA-Virginia_Beach,1190.0,13.0,17.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Indian_River,530.0,6.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Angelina,264.0,1.0,3.0,0
2021-11-01T00:00:00.000Z,All,All,All,TN-Shelby,1382.0,0.0,8.0,0
2021-11-01T00:00:00.000Z,All,All,All,AR-Washington,711.0,18.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Santa_Cruz,341.0,5.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Pasco,1730.0,24.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,IA-Polk,784.0,27.0,38.0,0
2021-11-01T00:00:00.000Z,All,All,All,IA-Woodbury,236.0,6.0,17.0,0
2021-11-01T00:00:00.000Z,All,All,All,LA-Sabine,412.0,0.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,NV-Clark,3142.0,89.0,160.0,0
2021-11-01T00:00:00.000Z,All,All,All,OR-Columbia,142.0,4.0,2.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Tom_Green,597.0,5.0,10.0,0
2021-11-01T00:00:00.000Z,All,All,All,UT-Salt_Lake,1813.0,28.0,45.0,0
2021-11-01T00:00:00.000Z,All,All,All,WA-Kitsap,310.0,8.0,18.0,0
2021-11-01T00:00:00.000Z,All,All,All,AL-Franklin,93.0,2.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AR-Benton,724.0,18.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AR-Pulaski,1148.0,17.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AZ-Yuma,460.0,8.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Fresno,2669.0,32.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Los_Angeles,14394.0,390.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Marin,426.0,8.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Merced,1444.0,12.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Napa,229.0,1.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Orange,3571.0,78.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Riverside,3489.0,64.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-San_Mateo,818.0,25.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Santa_Barbara,1405.0,20.0,0.0,1
2021-11-01T00:00:00.000Z,All,All,All,CA-Yuba,192.0,6.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CO-Boulder,497.0,4.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CO-Denver,1608.0,31.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CO-Douglas,338.0,12.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CO-Jefferson,1025.0,14.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Escambia,1596.0,11.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Nassau,560.0,10.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Orange,2234.0,50.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Pinellas,2912.0,30.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Polk,6668.0,80.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-St_Johns,456.0,9.0,14.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Forsyth,369.0,3.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Gwinnett,2429.0,26.0,32.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Hall,1258.0,32.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,IA-Marshall,111.0,1.0,4.0,0
2021-11-01T00:00:00.000Z,All,All,All,IA-Pottawattamie,191.0,12.0,10.0,0
2021-11-01T00:00:00.000Z,All,All,All,IA-Story,56.0,8.0,5.0,0
2021-11-01T00:00:00.000Z,All,All,All,KS-Saline,220.0,2.0,6.0,0
2021-11-01T00:00:00.000Z,All,All,All,KS-Sedgwick,1476.0,20.0,40.0,0
2021-11-01T00:00:00.000Z,All,All,All,KS-Wyandotte,472.0,8.0,11.0,0
2021-11-01T00:00:00.000Z,All,All,All,KY-Christian,712.0,4.0,16.0,0
2021-11-01T00:00:00.000Z,All,All,All,KY-Laurel,656.0,9.0,15.0,0
2021-11-01T00:00:00.000Z,All,All,All,KY-Oldham,274.0,4.0,7.0,0
2021-11-01T00:00:00.000Z,All,All,All,KY-Pike,358.0,0.0,9.0,0
2021-11-01T00:00:00.000Z,All,All,All,LA-Orleans,868.0,19.0,20.0,0
2021-11-01T00:00:00.000Z,All,All,All,LA-Rapides,910.0,9.0,8.0,0
2021-11-01T00:00:00.000Z,All,All,All,MI-Kent,1083.0,20.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,MO-Boone,221.0,7.0,10.0,0
2021-11-01T00:00:00.000Z,All,All,All,MO-McDonald,54.0,2.0,2.0,0
2021-11-01T00:00:00.000Z,All,All,All,MO-Platte,197.0,3.0,4.0,0
2021-11-01T00:00:00.000Z,All,All,All,MS-Hinds,595.0,7.0,8.0,0
2021-11-01T00:00:00.000Z,All,All,All,NC-Mecklenburg,1489.0,25.0,31.0,0
2021-11-01T00:00:00.000Z,All,All,All,NE-Douglas,1265.0,24.0,43.0,0
2021-11-01T00:00:00.000Z,All,All,All,NY-New_York_City,5322.0,17.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,OH-Butler,962.0,12.0,18.0,0
2021-11-01T00:00:00.000Z,All,All,All,OH-Wood,125.00000000000001,0.4595744680851064,0.4595744680851064,1
2021-11-01T00:00:00.000Z,All,All,All,OR-Marion,371.0,8.0,13.0,0
2021-11-01T00:00:00.000Z,All,All,All,OR-Multnomah,796.0,18.0,48.0,0
2021-11-01T00:00:00.000Z,All,All,All,SC-Spartanburg,1425.0,6.0,27.0,0
2021-11-01T00:00:00.000Z,All,All,All,TN-Davidson,1692.0,14.0,49.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Bell,1274.0,11.0,16.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Brazos,687.0,18.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Calhoun,82.0,2.0,2.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Kerr,239.0,7.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Tarrant,4126.0,66.0,136.0,0
2021-11-01T00:00:00.000Z,All,All,All,VA-Danville,269.0,1.0,4.0,0
2021-11-01T00:00:00.000Z,All,All,All,NJ-Salem,377.0,1.0,7.0,0
2021-11-01T00:00:00.000Z,All,All,All,PA-Dauphin,748.0,5.0,11.0,0
2021-11-01T00:00:00.000Z,All,All,All,AL-Madison,994.0,32.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AL-Pike,71.0,0.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Kings,458.0,0.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Lake,199.0,6.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Highlands,470.0,4.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Santa_Rosa,621.0,4.0,15.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Athens_Clarke,110.0,11.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Coweta,422.0,8.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Spalding,473.0,6.0,17.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Walton,518.0,3.0,6.0,0
2021-11-01T00:00:00.000Z,All,All,All,IL-Macon,308.0,6.0,10.0,0
2021-11-01T00:00:00.000Z,All,All,All,IN-Vanderburgh,729.0,14.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,KY-Clark,250.0,0.0,13.0,0
2021-11-01T00:00:00.000Z,All,All,All,KY-Hardin,665.0,6.0,20.0,0
2021-11-01T00:00:00.000Z,All,All,All,KY-Warren,659.0,12.0,18.0,0
2021-11-01T00:00:00.000Z,All,All,All,LA-Ascension,392.0,4.0,7.0,0
2021-11-01T00:00:00.000Z,All,All,All,MN-Sherburne,306.0,7.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,MO-Buchanan,186.0,2.0,13.0,0
2021-11-01T00:00:00.000Z,All,All,All,MO-Greene,661.0,13.0,27.0,0
2021-11-01T00:00:00.000Z,All,All,All,MS-Harrison,1326.0,16.0,52.0,0
2021-11-01T00:00:00.000Z,All,All,All,NC-Lincoln,146.0,13.0,8.0,0
2021-11-01T00:00:00.000Z,All,All,All,NV-Las_Vegas,480.0,27.0,55.0,0
2021-11-01T00:00:00.000Z,All,All,All,NV-North_Las_Vegas,226.0,14.0,44.0,0
2021-11-01T00:00:00.000Z,All,All,All,OK-Comanche,358.0,4.0,11.0,0
2021-11-01T00:00:00.000Z,All,All,All,OK-Creek,197.0,0.0,5.0,0
2021-11-01T00:00:00.000Z,All,All,All,OK-Okmulgee,138.0,2.0,4.0,0
2021-11-01T00:00:00.000Z,All,All,All,OR-Clackamas,219.0,14.0,16.0,0
2021-11-01T00:00:00.000Z,All,All,All,OR-Josephine,132.0,4.0,8.0,0
2021-11-01T00:00:00.000Z,All,All,All,SD-Pennington,684.0,16.0,25.0,0
2021-11-01T00:00:00.000Z,All,All,All,TN-Macon,308.0,3.0,11.0,0
2021-11-01T00:00:00.000Z,All,All,All,TN-Sevier,377.0,8.0,18.0,0
2021-11-01T00:00:00.000Z,All,All,All,TX-Montgomery,1041.0,20.0,54.0,0
2021-11-01T00:00:00.000Z,All,All,All,WA-Thurston_Olympia,19.459770114942533,0.32183908045977005,0.0,1
2021-11-01T00:00:00.000Z,All,All,All,WI-Kenosha,1048.0,8.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AL-Autauga,162.0,2.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AL-DeKalb,268.0,0.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AR-Franklin,97.0,1.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AR-Garland,772.0,22.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,AR-Independence,75.0,0.5555555555555556,0.0,1
2021-11-01T00:00:00.000Z,All,All,All,AR-Randolph,86.0,0.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Madera,483.0,3.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Siskiyou,82.0,2.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Tehama,175.0,4.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CA-Tulare,1417.0,25.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,CO-Pueblo,512.0,6.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Alachua,859.0,17.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Brevard,2966.0,66.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Gadsden,361.0,4.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Lee,1545.0,16.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Marion,1909.0,22.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Okaloosa,737.0,9.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Osceola,669.0,11.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,FL-Sumter,477.0,6.0,11.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Catoosa,209.0,1.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Columbia,275.0,4.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Richmond,1952.0,6.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Troup,542.0,5.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,GA-Whitfield,344.0,8.0,15.0,0
2021-11-01T00:00:00.000Z,All,All,All,IA-Black_Hawk,202.0,6.0,4.0,0
2021-11-01T00:00:00.000Z,All,All,All,ID-Cassia,134.0,0.0,6.0,0
2021-11-01T00:00:00.000Z,All,All,All,IL-Will,600.0,8.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,IN-Clay,324.0,4.0,12.0,0
2021-11-01T00:00:00.000Z,All,All,All,IN-Hendricks,268.0,4.0,16.0,0
2021-11-01T00:00:00.000Z,All,All,All,IN-Knox,192.0,6.0,2.0,0
2021-11-01T00:00:00.000Z,All,All,All,KS-Chase,75.0,0.0,0.0,0
2021-11-01T00:00:00.000Z,All,All,All,KS-Finney,83.0,2.0,2.0,0
