Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-08-29 00:00:00+00:00,All,All,All,FL-Hillsborough,2821.25,67.75,56.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Collin,1129.4673913043475,10.739130434782606,11.282608695652172,1
2021-08-29 00:00:00+00:00,All,All,All,MN-Stearns,149.75,11.75,8.75,0
2021-08-29 00:00:00+00:00,All,All,All,VA-Virginia_Beach,1134.75,16.0,16.25,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Indian_River,453.75,10.5,9.25,0
2021-08-29 00:00:00+00:00,All,All,All,IN-Marion,1901.0,73.0,79.25,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Angelina,253.5,5.0,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,TX-Erath,110.0,3.5,3.25,0
2021-08-29 00:00:00+00:00,All,All,All,TN-Shelby,1048.75,7.0,5.5,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Benton,685.75,32.25,29.0,0
2021-08-29 00:00:00+00:00,All,All,All,AR-Washington,645.5,15.75,15.25,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Merced,1425.873605947955,2.572490706319703,0.0,1
2021-08-29 00:00:00+00:00,All,All,All,CA-Riverside,3409.75,95.75,96.5,0
2021-08-29 00:00:00+00:00,All,All,All,CA-San_Mateo,747.75,17.75,19.75,0
2021-08-29 00:00:00+00:00,All,All,All,IA-Polk,847.75,34.25,34.5,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Sabine,402.0,3.0,3.0,0
2021-08-29 00:00:00+00:00,All,All,All,MN-Sherburne,292.0,7.5,11.75,0
2021-08-29 00:00:00+00:00,All,All,All,NV-Clark,3100.0,134.75,112.75,0
2021-08-29 00:00:00+00:00,All,All,All,NV-Las_Vegas,458.75,37.0,29.0,0
2021-08-29 00:00:00+00:00,All,All,All,OK-Okmulgee,142.5,3.25,4.0,0
2021-08-29 00:00:00+00:00,All,All,All,OK-Wagoner,92.75,1.75,2.25,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Columbia,144.25,4.75,2.0,0
2021-08-29 00:00:00+00:00,All,All,All,OR-Multnomah,764.75,26.75,28.5,0
2021-08-29 00:00:00+00:00,All,All,All,UT-Salt_Lake,1746.25,56.5,42.5,0
2021-08-29 00:00:00+00:00,All,All,All,WA-Nisqually,77.25,10.0,8.5,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Autauga,150.25,4.75,4.75,0
2021-08-29 00:00:00+00:00,All,All,All,AL-Franklin,65.5,0.75,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Fresno,68.0,0.5,1.25,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Los_Angeles,16039.25,291.875,281.5,1
2021-08-29 00:00:00+00:00,All,All,All,CA-Madera,472.25,8.0,8.75,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Napa,233.25,8.0,6.25,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Orange,3619.25,106.5,96.0,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Santa_Barbara,1370.5,25.0,29.0,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Santa_Cruz,4.0,0.0,0.0,0
2021-08-29 00:00:00+00:00,All,All,All,CA-Yuba,198.0,2.25,3.25,0
2021-08-29 00:00:00+00:00,All,All,All,CO-Boulder,485.5,13.25,13.75,0
2021-08-29 00:00:00+00:00,All,All,All,CO-Denver,1555.25,71.5,58.75,0
2021-08-29 00:00:00+00:00,All,All,All,CO-Douglas,317.5,14.75,12.0,0
2021-08-29 00:00:00+00:00,All,All,All,CO-Jefferson,1072.5,33.0,34.5,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Escambia,1515.75,37.5,29.25,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Flagler,199.0,5.25,5.25,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Nassau,472.5,8.5,6.5,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Orange,2225.25,65.5,66.5,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Osceola,686.75,22.5,23.0,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Pasco,1765.5,18.75,22.0,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Pinellas,2741.25,46.0,46.5,0
2021-08-29 00:00:00+00:00,All,All,All,FL-Polk,6437.0,93.0,94.5,0
2021-08-29 00:00:00+00:00,All,All,All,FL-St_Johns,418.5,11.0,8.75,0
2021-08-29 00:00:00+00:00,All,All,All,GA-Athens_Clarke,102.25,16.5,14.0,0
